"order_id","customer_id","employee_id","order_date","ship_city"
10484,"BSBEV",3,"1997-03-24","London"
10485,"LINOD",4,"1997-03-25","I. de Margarita"
10486,"HILAA",1,"1997-03-26","San Cristóbal"
10487,"QUEEN",2,"1997-03-26","Sao Paulo"
10488,"FRANK",8,"1997-03-27","München"
10489,"PICCO",6,"1997-03-28","Salzburg"
10490,"HILAA",7,"1997-03-31","San Cristóbal"
10491,"FURIB",8,"1997-03-31","Lisboa"
10492,"BOTTM",3,"1997-04-01","Tsawassen"
10493,"LAMAI",4,"1997-04-02","Toulouse"
10494,"COMMI",4,"1997-04-02","Sao Paulo"
10495,"LAUGB",3,"1997-04-03","Vancouver"
10496,"TRADH",7,"1997-04-04","Sao Paulo"
10497,"LEHMS",7,"1997-04-04","Frankfurt a.M."
10498,"HILAA",8,"1997-04-07","San Cristóbal"
10499,"LILAS",4,"1997-04-08","Barquisimeto"
10500,"LAMAI",6,"1997-04-09","Toulouse"
10501,"BLAUS",9,"1997-04-09","Mannheim"
10502,"PERIC",2,"1997-04-10","México D.F."
10503,"HUNGO",6,"1997-04-11","Cork"
10504,"WHITC",4,"1997-04-11","Seattle"
10505,"MEREP",3,"1997-04-14","Montréal"
10506,"KOENE",9,"1997-04-15","Brandenburg"
10507,"ANTON",7,"1997-04-15","México D.F."
10508,"OTTIK",1,"1997-04-16","Köln"
10509,"BLAUS",4,"1997-04-17","Mannheim"
10510,"SAVEA",6,"1997-04-18","Boise"
10511,"BONAP",4,"1997-04-18","Marseille"
10512,"FAMIA",7,"1997-04-21","Sao Paulo"
10513,"WANDK",7,"1997-04-22","Stuttgart"
10514,"ERNSH",3,"1997-04-22","Graz"
10515,"QUICK",2,"1997-04-23","Cunewalde"
10516,"HUNGO",2,"1997-04-24","Cork"
10517,"NORTS",3,"1997-04-24","London"
10518,"TORTU",4,"1997-04-25","México D.F."
10519,"CHOPS",6,"1997-04-28","Bern"
10520,"SANTG",7,"1997-04-29","Stavern"
10521,"CACTU",8,"1997-04-29","Buenos Aires"
10522,"LEHMS",4,"1997-04-30","Frankfurt a.M."
10523,"SEVES",7,"1997-05-01","London"
10524,"BERGS",1,"1997-05-01","Luleå"
10525,"BONAP",1,"1997-05-02","Marseille"
10526,"WARTH",4,"1997-05-05","Oulu"
10527,"QUICK",7,"1997-05-05","Cunewalde"
10528,"GREAL",6,"1997-05-06","Eugene"
10529,"MAISD",5,"1997-05-07","Bruxelles"
10530,"PICCO",3,"1997-05-08","Salzburg"
10531,"OCEAN",7,"1997-05-08","Buenos Aires"
10532,"EASTC",7,"1997-05-09","London"
10533,"FOLKO",8,"1997-05-12","Bräcke"
10534,"LEHMS",8,"1997-05-12","Frankfurt a.M."
10535,"ANTON",4,"1997-05-13","México D.F."
10536,"LEHMS",3,"1997-05-14","Frankfurt a.M."
10537,"RICSU",1,"1997-05-14","Genève"
10538,"BSBEV",9,"1997-05-15","London"
10539,"BSBEV",6,"1997-05-16","London"
10540,"QUICK",3,"1997-05-19","Cunewalde"
10541,"HANAR",2,"1997-05-19","Rio de Janeiro"
10542,"KOENE",1,"1997-05-20","Brandenburg"
10543,"LILAS",8,"1997-05-21","Barquisimeto"
10544,"LONEP",4,"1997-05-21","Portland"
10545,"LAZYK",8,"1997-05-22","Walla Walla"
10546,"VICTE",1,"1997-05-23","Lyon"
10547,"SEVES",3,"1997-05-23","London"
10548,"TOMSP",3,"1997-05-26","Münster"
10549,"QUICK",5,"1997-05-27","Cunewalde"
10550,"GODOS",7,"1997-05-28","Sevilla"
10551,"FURIB",4,"1997-05-28","Lisboa"
10552,"HILAA",2,"1997-05-29","San Cristóbal"
10553,"WARTH",2,"1997-05-30","Oulu"
10554,"OTTIK",4,"1997-05-30","Köln"
10555,"SAVEA",6,"1997-06-02","Boise"
10556,"SIMOB",2,"1997-06-03","Kobenhavn"
10557,"LEHMS",9,"1997-06-03","Frankfurt a.M."
10558,"AROUT",1,"1997-06-04","Colchester"
10559,"BLONP",6,"1997-06-05","Strasbourg"
10560,"FRANK",8,"1997-06-06","München"
10561,"FOLKO",2,"1997-06-06","Bräcke"
10562,"REGGC",1,"1997-06-09","Reggio Emilia"
10563,"RICAR",2,"1997-06-10","Rio de Janeiro"
10564,"RATTC",4,"1997-06-10","Albuquerque"
10565,"MEREP",8,"1997-06-11","Montréal"
10566,"BLONP",9,"1997-06-12","Strasbourg"
10567,"HUNGO",1,"1997-06-12","Cork"
10568,"GALED",3,"1997-06-13","Barcelona"
10569,"RATTC",5,"1997-06-16","Albuquerque"
10570,"MEREP",3,"1997-06-17","Montréal"
10571,"ERNSH",8,"1997-06-17","Graz"
10572,"BERGS",3,"1997-06-18","Luleå"
10573,"ANTON",7,"1997-06-19","México D.F."
10574,"TRAIH",4,"1997-06-19","Kirkland"
10575,"MORGK",5,"1997-06-20","Leipzig"
10576,"TORTU",3,"1997-06-23","México D.F."
10577,"TRAIH",9,"1997-06-23","Kirkland"
10578,"BSBEV",4,"1997-06-24","London"
10579,"LETSS",1,"1997-06-25","San Francisco"
10580,"OTTIK",4,"1997-06-26","Köln"
10581,"FAMIA",3,"1997-06-26","Sao Paulo"
10582,"BLAUS",3,"1997-06-27","Mannheim"
10583,"WARTH",2,"1997-06-30","Oulu"
10584,"BLONP",4,"1997-06-30","Strasbourg"
10585,"WELLI",7,"1997-07-01","Resende"
10586,"REGGC",9,"1997-07-02","Reggio Emilia"
10587,"QUEDE",1,"1997-07-02","Rio de Janeiro"
10588,"QUICK",2,"1997-07-03","Cunewalde"
10589,"GREAL",8,"1997-07-04","Eugene"
10590,"MEREP",4,"1997-07-07","Montréal"
10591,"VAFFE",1,"1997-07-07","Århus"
10592,"LEHMS",3,"1997-07-08","Frankfurt a.M."
10593,"LEHMS",7,"1997-07-09","Frankfurt a.M."
10594,"OLDWO",3,"1997-07-09","Anchorage"
10595,"ERNSH",2,"1997-07-10","Graz"
10596,"WHITC",8,"1997-07-11","Seattle"
10597,"PICCO",7,"1997-07-11","Salzburg"
10598,"RATTC",1,"1997-07-14","Albuquerque"
10599,"BSBEV",6,"1997-07-15","London"
10600,"HUNGC",4,"1997-07-16","Elgin"
10601,"HILAA",7,"1997-07-16","San Cristóbal"
10602,"VAFFE",8,"1997-07-17","Århus"
10603,"SAVEA",8,"1997-07-18","Boise"
10604,"FURIB",1,"1997-07-18","Lisboa"
10605,"MEREP",1,"1997-07-21","Montréal"
10606,"TRADH",4,"1997-07-22","Sao Paulo"
10607,"SAVEA",5,"1997-07-22","Boise"
10608,"TOMSP",4,"1997-07-23","Münster"
10609,"DUMON",7,"1997-07-24","Nantes"
10610,"LAMAI",8,"1997-07-25","Toulouse"
10611,"WOLZA",6,"1997-07-25","Warszawa"
10612,"SAVEA",1,"1997-07-28","Boise"
10613,"HILAA",4,"1997-07-29","San Cristóbal"
10614,"BLAUS",8,"1997-07-29","Mannheim"
10615,"WILMK",2,"1997-07-30","Helsinki"
10616,"GREAL",1,"1997-07-31","Eugene"
10617,"GREAL",4,"1997-07-31","Eugene"
10618,"MEREP",1,"1997-08-01","Montréal"
10619,"MEREP",3,"1997-08-04","Montréal"
10620,"LAUGB",2,"1997-08-05","Vancouver"
10621,"ISLAT",4,"1997-08-05","Cowes"
10622,"RICAR",4,"1997-08-06","Rio de Janeiro"
10623,"FRANK",8,"1997-08-07","München"
10624,"THECR",4,"1997-08-07","Butte"
10625,"ANATR",3,"1997-08-08","México D.F."
10626,"BERGS",1,"1997-08-11","Luleå"
10627,"SAVEA",8,"1997-08-11","Boise"
10628,"BLONP",4,"1997-08-12","Strasbourg"
10629,"GODOS",4,"1997-08-12","Sevilla"
10630,"KOENE",1,"1997-08-13","Brandenburg"
10631,"LAMAI",8,"1997-08-14","Toulouse"
10632,"WANDK",8,"1997-08-14","Stuttgart"
10633,"ERNSH",7,"1997-08-15","Graz"
10634,"FOLIG",4,"1997-08-15","Lille"
10635,"MAGAA",8,"1997-08-18","Bergamo"
10636,"WARTH",4,"1997-08-19","Oulu"
10637,"QUEEN",6,"1997-08-19","Sao Paulo"
10638,"LINOD",3,"1997-08-20","I. de Margarita"
10639,"SANTG",7,"1997-08-20","Stavern"
10640,"WANDK",4,"1997-08-21","Stuttgart"
10641,"HILAA",4,"1997-08-22","San Cristóbal"
10642,"SIMOB",7,"1997-08-22","Kobenhavn"
10643,"ALFKI",6,"1997-08-25","Berlin"
10644,"WELLI",3,"1997-08-25","Resende"
10645,"HANAR",4,"1997-08-26","Rio de Janeiro"
10646,"HUNGO",9,"1997-08-27","Cork"
10647,"QUEDE",4,"1997-08-27","Rio de Janeiro"
10648,"RICAR",5,"1997-08-28","Rio de Janeiro"
10649,"MAISD",5,"1997-08-28","Bruxelles"
10650,"FAMIA",5,"1997-08-29","Sao Paulo"
10651,"WANDK",8,"1997-09-01","Stuttgart"
10652,"GOURL",4,"1997-09-01","Campinas"
10653,"FRANK",1,"1997-09-02","München"
10654,"BERGS",5,"1997-09-02","Luleå"
10655,"REGGC",1,"1997-09-03","Reggio Emilia"
10656,"GREAL",6,"1997-09-04","Eugene"
10657,"SAVEA",2,"1997-09-04","Boise"
10658,"QUICK",4,"1997-09-05","Cunewalde"
10659,"QUEEN",7,"1997-09-05","Sao Paulo"
10660,"HUNGC",8,"1997-09-08","Elgin"
10661,"HUNGO",7,"1997-09-09","Cork"
10662,"LONEP",3,"1997-09-09","Portland"
10663,"BONAP",2,"1997-09-10","Marseille"
10664,"FURIB",1,"1997-09-10","Lisboa"
10665,"LONEP",1,"1997-09-11","Portland"
10666,"RICSU",7,"1997-09-12","Genève"
10667,"ERNSH",7,"1997-09-12","Graz"
10668,"WANDK",1,"1997-09-15","Stuttgart"
10669,"SIMOB",2,"1997-09-15","Kobenhavn"
10670,"FRANK",4,"1997-09-16","München"
10671,"FRANR",1,"1997-09-17","Nantes"
10672,"BERGS",9,"1997-09-17","Luleå"
10673,"WILMK",2,"1997-09-18","Helsinki"
10674,"ISLAT",4,"1997-09-18","Cowes"
10675,"FRANK",5,"1997-09-19","München"
10676,"TORTU",2,"1997-09-22","México D.F."
10677,"ANTON",1,"1997-09-22","México D.F."
10678,"SAVEA",7,"1997-09-23","Boise"
10679,"BLONP",8,"1997-09-23","Strasbourg"
10680,"OLDWO",1,"1997-09-24","Anchorage"
10681,"GREAL",3,"1997-09-25","Eugene"
10682,"ANTON",3,"1997-09-25","México D.F."
10683,"DUMON",2,"1997-09-26","Nantes"
10684,"OTTIK",3,"1997-09-26","Köln"
10685,"GOURL",4,"1997-09-29","Campinas"
10686,"PICCO",2,"1997-09-30","Salzburg"
10687,"HUNGO",9,"1997-09-30","Cork"
10688,"VAFFE",4,"1997-10-01","Århus"
10689,"BERGS",1,"1997-10-01","Luleå"
10690,"HANAR",1,"1997-10-02","Rio de Janeiro"
10691,"QUICK",2,"1997-10-03","Cunewalde"
10692,"ALFKI",4,"1997-10-03","Berlin"
10693,"WHITC",3,"1997-10-06","Seattle"
10694,"QUICK",8,"1997-10-06","Cunewalde"
10695,"WILMK",7,"1997-10-07","Helsinki"
10696,"WHITC",8,"1997-10-08","Seattle"
10697,"LINOD",3,"1997-10-08","I. de Margarita"
10698,"ERNSH",4,"1997-10-09","Graz"
10699,"MORGK",3,"1997-10-09","Leipzig"
10700,"SAVEA",3,"1997-10-10","Boise"
10701,"HUNGO",6,"1997-10-13","Cork"
10702,"ALFKI",4,"1997-10-13","Berlin"
10703,"FOLKO",6,"1997-10-14","Bräcke"
10704,"QUEEN",6,"1997-10-14","Sao Paulo"
10705,"HILAA",9,"1997-10-15","San Cristóbal"
10706,"OLDWO",8,"1997-10-16","Anchorage"
10707,"AROUT",4,"1997-10-16","Colchester"
10708,"THEBI",6,"1997-10-17","Portland"
10709,"GOURL",1,"1997-10-17","Campinas"
10710,"FRANS",1,"1997-10-20","Torino"
10711,"SAVEA",5,"1997-10-21","Boise"
10712,"HUNGO",3,"1997-10-21","Cork"
10713,"SAVEA",1,"1997-10-22","Boise"
10714,"SAVEA",5,"1997-10-22","Boise"
10715,"BONAP",3,"1997-10-23","Marseille"
10716,"RANCH",4,"1997-10-24","Buenos Aires"
10717,"FRANK",1,"1997-10-24","München"
10718,"KOENE",1,"1997-10-27","Brandenburg"
10719,"LETSS",8,"1997-10-27","San Francisco"
10720,"QUEDE",8,"1997-10-28","Rio de Janeiro"
10721,"QUICK",5,"1997-10-29","Cunewalde"
10722,"SAVEA",8,"1997-10-29","Boise"
10723,"WHITC",3,"1997-10-30","Seattle"
10724,"MEREP",8,"1997-10-30","Montréal"
10725,"FAMIA",4,"1997-10-31","Sao Paulo"
10726,"EASTC",4,"1997-11-03","London"
10727,"REGGC",2,"1997-11-03","Reggio Emilia"
10728,"QUEEN",4,"1997-11-04","Sao Paulo"
10729,"LINOD",8,"1997-11-04","I. de Margarita"
10730,"BONAP",5,"1997-11-05","Marseille"
10731,"CHOPS",7,"1997-11-06","Bern"
10732,"BONAP",3,"1997-11-06","Marseille"
10733,"BERGS",1,"1997-11-07","Luleå"
10734,"GOURL",2,"1997-11-07","Campinas"
10735,"LETSS",6,"1997-11-10","San Francisco"
10736,"HUNGO",9,"1997-11-11","Cork"
10737,"VINET",2,"1997-11-11","Reims"
10738,"SPECD",2,"1997-11-12","Paris"
10739,"VINET",3,"1997-11-12","Reims"
10740,"WHITC",4,"1997-11-13","Seattle"
10741,"AROUT",4,"1997-11-14","Colchester"
10742,"BOTTM",3,"1997-11-14","Tsawassen"
10743,"AROUT",1,"1997-11-17","Colchester"
10744,"VAFFE",6,"1997-11-17","Århus"
10745,"QUICK",9,"1997-11-18","Cunewalde"
10746,"CHOPS",1,"1997-11-19","Bern"
10747,"PICCO",6,"1997-11-19","Salzburg"
10748,"SAVEA",3,"1997-11-20","Boise"
10749,"ISLAT",4,"1997-11-20","Cowes"
10750,"WARTH",9,"1997-11-21","Oulu"
10751,"RICSU",3,"1997-11-24","Genève"
10752,"NORTS",2,"1997-11-24","London"
10753,"FRANS",3,"1997-11-25","Torino"
10754,"MAGAA",6,"1997-11-25","Bergamo"
10755,"BONAP",4,"1997-11-26","Marseille"
10756,"SPLIR",8,"1997-11-27","Lander"
10757,"SAVEA",6,"1997-11-27","Boise"
10758,"RICSU",3,"1997-11-28","Genève"
10759,"ANATR",3,"1997-11-28","México D.F."
10760,"MAISD",4,"1997-12-01","Bruxelles"
10761,"RATTC",5,"1997-12-02","Albuquerque"
10762,"FOLKO",3,"1997-12-02","Bräcke"
10763,"FOLIG",3,"1997-12-03","Lille"
10764,"ERNSH",6,"1997-12-03","Graz"
10765,"QUICK",3,"1997-12-04","Cunewalde"
10766,"OTTIK",4,"1997-12-05","Köln"
10767,"SUPRD",4,"1997-12-05","Charleroi"
10768,"AROUT",3,"1997-12-08","Colchester"
10769,"VAFFE",3,"1997-12-08","Århus"
10770,"HANAR",8,"1997-12-09","Rio de Janeiro"
10771,"ERNSH",9,"1997-12-10","Graz"
10772,"LEHMS",3,"1997-12-10","Frankfurt a.M."
10773,"ERNSH",1,"1997-12-11","Graz"
10774,"FOLKO",4,"1997-12-11","Bräcke"
10775,"THECR",7,"1997-12-12","Butte"
10776,"ERNSH",1,"1997-12-15","Graz"
10777,"GOURL",7,"1997-12-15","Campinas"
10778,"BERGS",3,"1997-12-16","Luleå"
10779,"MORGK",3,"1997-12-16","Leipzig"
10780,"LILAS",2,"1997-12-16","Barquisimeto"
10781,"WARTH",2,"1997-12-17","Oulu"
10782,"CACTU",9,"1997-12-17","Buenos Aires"
